GEOID_T,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ
6029002001,78.55979146,16.8,72.37728585,38.1,5.7,15.5,45.35679374,23.2,21.36669875,7.745933385,90.58325187,17.12204007,0,4.234841193,38.7,4.95275334
48071710500,35.86319981,5.7,21.73913043,32.6,16.5,17.8,23.71693421,18.1,12.37922705,11.45428016,46.52950486,3.933948519,22.4,3.079710145,2.1,3.481799683
55025011505,21.94884287,0.4,30.56069008,11.2,5,13.6,24.43113772,8.3,7.886629698,1.704260652,34.56287425,14.03719256,0,2.402957486,3.5,1.676646707
6059086701,23.47355637,3.7,32.57065949,25.9,7,15.4,20.32681904,13.2,2.557200538,20.06233406,77.61952081,12.36193713,14.3,18.79766712,4.1,0.51893563
48201341203,12.72066459,4.1,29.83957219,7.7,14.4,14.9,10.64382139,18.6,4.919786096,4.994629431,43.25025961,49.873631,0,6.631016043,3.3,0.2596054
48113018205,29.40099398,6.7,36.54458599,32.5,35.2,6.9,30.42113523,4.1,7.722929936,15.52761072,83.20690557,33.52601156,0,13.13694268,8,0
36047092800,13.45875543,1.8,38.32020997,10.2,5.5,20.4,13.35021708,7.6,11.3735783,1.623254058,99.2040521,10.08403361,0,1.049868766,35.3,0.615050651
42101000403,2.451612903,0,9.056603774,0,2.2,6.2,1.548387097,3,0,0,19.48387097,100,0,0,40,0
16039960201,19.94141505,9.6,18.79194631,3.3,15.9,14.9,28.45876521,11,14.09395973,0.968054211,19.80621902,0,13.1,0,4.7,0
36081038400,13.48464619,5,23.67688022,16.9,8.7,16,20.93522094,9.3,10.30640669,0.875172731,99.52809953,0,0,4.874651811,7.7,0.643500644
6065040621,11.747851,4.4,18.68743048,9.9,7.1,9.2,28.88773118,8.6,14.68298109,3.798513625,68.58556916,2.002224694,0,0,0,0
26081011804,7.268222176,4.3,28.72817955,4.2,0.2,32.4,21.05778648,14.6,1.546134663,0.979391961,16.61116552,24.68065693,0,0,16.5,5.465230167
22051026500,19.63216424,9.2,13.42756184,41.9,4.9,52.2,10.00797448,15.2,0.424028269,0.70276974,16.46730463,17.01694915,0.4,0,11.7,8.014354067
6037482303,32.87239629,5,49.86702128,33.4,7.3,16.5,21.94993874,9.5,4.055851064,38.64678899,97.70698407,8.327994875,0,23.20478723,9,0
36029003700,53.67727772,11.5,52.90280496,20.8,10,9.1,30.03003003,22.9,22.70058708,3.195543829,92.95659296,1.481075151,0,2.413568167,43.6,0.436800437
40027201505,10.83796878,0.2,17.76165011,4.1,4,23.8,17.22591064,14.7,1.298701299,0.167286245,22.37574018,15.71008094,0,1.069518717,3.4,0
51007930102,35.0625,5.1,31.56392694,15,7,14.9,28.18805908,12.7,5.593607306,2.140255009,31.10047847,1.510574018,27.1,11.18721461,3.6,0.208029956
22019000800,34.98098859,3.7,28.83670126,14.3,9.6,25.3,15.36488027,13.4,7.591480066,0.331125828,61.40250855,0.643974241,1.1,1.529219006,7.5,3.363740023
6075035202,17.0887338,2.7,31.46696529,8.8,5.4,13.5,18.28514457,10.2,4.591265398,10.06555297,64.34695912,14.75498115,0,12.4300112,9.9,0.877367896
36005042100,37.22786647,11.4,46.12365064,23.1,11,8,29.04744658,8.9,5.888125613,24.91803279,90.23904382,93.73840445,0,23.69970559,71.9,1.466859833
39085202902,6.464924347,12.1,34.7767253,10.5,3.9,33.1,7.840440165,23.9,0,0,6.121045392,0,0,0,0,0.550206327
53033009100,47.51082251,4.6,47.88345245,37.6,5.8,36.9,5.687877711,32.1,1.264431006,34.02061856,77.17739069,93.06569343,0,14.40351842,64.5,1.457518663
12115002201,10.31529778,12.7,28.7446505,4.3,2.8,53.4,6.305955625,15,0.713266762,0,7.434799533,0.337837838,39.9,0,1.9,0
26139025102,19.39258846,5.6,19.90553306,17.2,5.7,21.5,16.82920033,13.7,13.56275304,1.069982649,33.15686821,3.036437247,0,1.417004049,3,0
39013010700,14.06660824,7.8,14.76510067,7.9,5.5,22.2,18.97746967,12.3,2.348993289,0,4.159445407,2.676399027,20.8,0,2.1,2.686308492
12011050800,29.47313511,10.7,50.79552151,16.8,23.4,14.3,23.0394714,16.1,10.25338833,3.301081389,98.20900713,2.901665771,15.4,1.119622864,13.3,0.452095288
12011020302,23.26496542,7.5,46.08247423,8.6,18.9,13.4,21.69990503,11,11.47766323,8.965079365,60.70750237,49.95184591,0,1.134020619,8.3,0.106837607
6053011101,24.27184466,4,35.39823009,12.4,5.5,22.4,25.32258065,15.3,10.61946903,15.67567568,61.93548387,0,16.1,4.867256637,1.8,0
48113018508,27.8833967,8.7,31.18421053,4.9,19,3.2,13.37135615,14.7,8.552631579,0,73.32065906,35.03740648,0,4.868421053,12.5,0
48439105008,18.08272209,3.8,29.03322359,12.8,12.8,6.1,30.32803586,7.7,6.285543251,4.341317365,54.16666667,26.19742991,0,1.915594133,3.5,0
6001408800,43.37058291,7.4,54.02081362,39,8.4,7.5,32.09000302,13.1,15.1371807,13.37666781,92.88734521,30.77634011,0,12.8666036,26.9,0
36081045700,25.6432247,0.5,37.34597156,26.9,15,16.9,17.289851,6.2,3.507109005,27.65104809,88.58588698,21.33995037,0,14.5971564,51.8,0
6027000800,25.2689925,3.2,28.74331551,13.7,7.2,26.7,17.07865169,17.7,2.406417112,4.506578947,46.00321027,2.21686747,26.3,2.941176471,4.3,6.035313002
36081027102,24.16167665,5,43.53741497,38.5,17.4,5.9,16.22754491,4.6,0,36.48344584,93.59281437,88.82410107,0,16.32653061,68.1,0
39097041000,18.87755102,0,4.918032787,25.4,27,4.8,0.58685446,53.1,0,0.901430531,52.4256651,55.47945205,0,0,88.5,96.16588419
51087200202,1.429275505,4,8.465244322,0.2,1.6,19.6,23.65697388,10.3,2.064693737,0,2.41498275,0,0,0.75705437,0.7,0
26163553100,55.36159601,2.4,36.79389313,12.2,4.1,18.6,22.10526316,19.8,13.58778626,0,83.09597523,6.931702345,0,0,16.6,2.352941176
4013104207,17.13318284,1.8,27.18868951,7.2,2.7,17.9,16.05659106,11.2,3.099510604,2.103521626,25.21895351,23.90969728,0,3.806416531,5.4,0.404221873
55079080300,8.531289911,3,19.19191919,0.9,0.4,14.7,27.99592045,2.6,4.175084175,0.994749931,5.37990821,3.075957313,0,0,4.6,0
48245006500,43.49556168,6.5,29.35779817,25.6,29.6,10.7,25.67319461,16.6,14.42869058,15.9410802,88.37209302,16.44888547,0,0.667222686,11.1,0.183598531
12086013201,30.04569688,2.2,43.15642458,14.8,18,17.4,17.40289414,11.2,5.30726257,33.67306938,99.3907083,7.053941909,0,7.262569832,0,0.34272658
25005640901,33.42618384,19.2,34.5308311,27.3,2.2,12.8,38.5544247,20.4,10.9919571,10.06329114,53.73469036,11.38475836,0,9.651474531,27.9,0
6075026201,15.42902125,1.3,18.4553661,26,3.8,18.7,15.90023383,8.8,3.911735206,26.55746509,96.25876851,4.384328358,0,15.84754263,7.4,1.922577293
27123034204,23.47198642,4.8,32.9787234,5.4,4.8,11.4,9.178743961,14.3,1.001251564,0,29.75040258,86.99324324,0,5.944931164,33.8,9.943639291
6111003614,11.49028078,1.9,27.25423729,13.2,2.3,18.9,18.8275567,12,12.40677966,3.682783552,72.65725289,16.12106238,0,6.847457627,1.4,0.192554557
19049050901,4.44225074,1.9,17.71472393,3,12.5,11.5,27.21289898,6.5,4.141104294,0.775455158,15.00493583,3.843560351,0,0.613496933,0.8,0
55079015700,60.38536904,13.6,41.1259542,44.9,23.5,11.4,34.08287825,17.2,4.961832061,16.24778761,91.80854481,9.711286089,0,7.15648855,22.7,0.899453903
39035177104,19.49644932,1.3,26.63165791,7.3,4.8,19.2,21.28205128,13.9,6.826706677,0.955631399,12.88461538,0.575539568,0,0,0.8,1.025641026
8059011804,14.64611072,6,25.09225092,9.7,13.9,23,14.79841529,11.1,5.842558426,2.037914692,38.63901189,11.80811808,2.4,3.013530135,3.1,0
12057010304,20.94017094,5.9,25.73238321,15.5,9.2,19.4,20.64636752,17.7,7.759303246,0,21.23397436,6.99790063,39.2,5.621536025,7.7,0
6071007306,33.11845286,4.4,39.07432132,8.7,6.3,16.9,21.23879893,12.2,3.070761015,5.096301347,68.63700676,23.39561332,0,4.89541611,11,2.138028612
6037551201,17.10144928,6.7,49.73867596,15.5,8.5,19.6,24.0294701,7.6,6.620209059,6.726327945,88.60867101,41.19127517,0,8.362369338,8.3,1.020119014
39049003700,34.37790878,6.6,32.90102389,7.7,4.3,10.4,16.64607783,16.4,6.825938567,0.582712852,55.83693638,13.49003577,0,0.546075085,12.9,1.019147622
51810046002,9.125406578,5.2,22.78064819,6.5,6.6,20.5,21.7962563,10.6,5.636449037,0.41509434,36.06911447,2.207609206,0,1.409112259,1,0.089992801
8031008306,31.50084794,10,44.9197861,32.1,21.2,10.2,31.68944624,8.8,11.55080214,21.13545202,91.22164295,34.02813966,0,13.90374332,10.4,0.295899676
12101033008,34.25605536,5.1,28.81213142,10.3,18.8,36,11.14952463,23.4,3.369839933,1.755926251,17.6318064,1.01910828,48.3,0,3.8,0.691443388
17089853004,17.0763684,6.3,27.89017341,6.3,7.1,20.3,16.96832579,20.8,0.794797688,1.690420948,31.06011635,21.85338866,0,1.51734104,9.9,1.454427925
11001005003,9.276437848,0.4,26.50862069,2.4,4.4,1.7,0,7.5,0,0.989486704,41.99134199,88.80866426,0,2.478448276,64.4,1.298701299
6037482503,13.15361376,5.3,34.15326395,41.3,3.2,15.2,20.93887985,7.1,4.730368969,32.31037924,98.21055078,2.508960573,0,23.93566698,3.2,0
31153010630,2.146375792,4.7,7.06231454,1.3,0.5,4.3,39.44405348,3.9,3.976261128,0.238331678,13.19493315,0,0,0.178041543,0.9,0
12057013706,39.11401099,1,53.26530612,1.8,7.2,2.6,6.730769231,3.2,6.12244898,2.459016393,69.81456044,96.069869,0,0.544217687,0.6,0
36013035800,30.16212909,3.9,29.17271408,3.4,0.9,13.5,14.89752218,12.1,3.555878084,0,11.13490364,4.753309266,0,0,3.5,0
56039967704,8.293904815,1.5,18.26241135,4.6,3.8,17.8,14.13860284,3.6,5.555555556,1.384291303,7.48677985,2.257240204,1.8,2.777777778,6.1,0
26099261200,11.03896104,13.6,18.14236111,11.9,2.6,16.5,17.45607334,13.5,6.163194444,1.40562249,21.39037433,1.531914894,0,1.475694444,3.7,0
26065000700,59.13480108,9.2,51.14503817,16,9.9,4.6,26.01749715,18.5,12.59541985,1.261187958,66.94560669,5.87797619,0.2,10.8778626,19.8,1.559528338
42045409601,6.400170104,8.9,22.42888403,0.6,0.5,18.8,26.5442404,7.5,2.735229759,1.089373055,27.48330551,30.89030989,0,0,6.6,2.170283806
12105011732,36.15189873,9.3,38.61818182,24.5,28.4,11.3,22.01811777,24.1,11.85454545,4.203959859,37.97181681,5.793450882,0,1.163636364,1.5,0.201308505
6037310800,16.56237779,4.4,34.79078514,4.1,4.9,15,17.34972678,12.1,5.40667607,5.152320589,42.66198283,13.89396709,1.9,3.94922426,11.7,1.209992194
40109980004,65,50,,0,65,5,0,10,,0,30,,-666666666,,-666666666,100
26125170400,9.08389089,4.5,17.47728487,4.8,2.9,14.3,17.70458055,13.6,3.260288616,0.163043478,12.63510036,11.48825065,0,0,6.6,0
6037127102,35.75570859,8.8,48.91443167,30.2,17.5,5.7,22.57013575,8.1,12.32439336,21.2993581,85.99095023,62.36760125,0,32.31162197,4.7,0.542986425
18049953100,23.22291235,6.7,27.6433121,11.1,8.4,19.4,23.64328259,13.9,5.477707006,0,4.467240238,8.311493823,9.2,0,9.7,3.358702846
36047116000,33.82913806,14.4,38.24521935,16.3,4.7,8.8,24.86692015,10.4,13.83577053,5.261011419,99.12547529,20.22703818,0,7.199100112,53.1,0.684410646
19185070100,19.14504932,1,19.45181256,7.6,0.8,22.9,24.34721242,14.9,5.570291777,0.569476082,6.033874382,0.223546945,7.7,3.890362511,4.9,3.740296401
29189220503,7.705718271,13,16.58841941,7.6,9.4,18.6,27.96709753,8.9,3.364632238,3.447204969,3.202115159,0.85007728,0,0,2.7,0
48215020304,16.07728764,4.4,13.74663073,24.2,15.3,17.2,28.18082392,10.3,8.355795148,20.21193093,94.82318629,4,6.8,13.47708895,3.1,0
26125137101,1.283199045,2.2,10.64,0,4.8,6.9,26.0519248,5.2,5.44,5.543644717,37.69024172,0,0,2.08,0,0.328260221
35025000300,37.56058158,4.2,30.52208835,55.9,21.6,9.6,28.75605816,15.7,25.63587684,13.31592689,92.08400646,1.710914454,18.1,3.078982597,6.2,0.457727518
42107002800,26.13851992,9.8,17.25274725,11.2,3.4,18,22.7818854,17.3,4.945054945,0.835791544,9.473197782,2.372262774,0.4,0,10.7,2.495378928
4013216822,4.939809049,3,13.73574144,0.6,1.5,38.3,13.66459627,8.5,0.522813688,0,9.026915114,0,0,0,1.6,0.807453416
13089020100,7.028599127,6.5,16.26928471,0.5,7.7,9.1,33.05865245,3.9,3.927068724,0.677436165,10.27629666,14.17816813,0,1.542776999,1.8,0
42101037300,11.80791973,2.8,30.62926459,4.9,3.5,20.2,20.36576705,14.5,7.126611069,2.086494689,22.37215909,27.99121844,0,0,13.1,0.923295455
6073020202,44.28550787,2.5,64.12103746,47.5,24.5,7.1,28.61962328,9.4,8.981748319,22.84893392,89.2324993,39.61835529,0,29.82708934,9.3,0.885577734
12011060404,31.09489051,0,48.6631016,7.3,6.6,28.2,22.96836983,24.6,17.2459893,10.06224066,92.40875912,55.89919817,4.6,7.085561497,22.5,0
47157010610,57.94592812,4.7,44.54638124,26.3,20.1,6.2,37.02685215,10.3,20.99898063,6.872788229,96.76480104,7.026348808,0,5.351681957,4.1,0
17111871208,1.421052632,6.8,15.47531319,3.6,1.3,11.3,25.31578947,9.9,0.810611643,1.310287148,14.44736842,0,0,1.473839352,3.1,0
48113018135,10.30805687,7.6,26.94300518,7.5,15.4,6.6,31.0786106,8.5,15.09067358,0.301886792,44.81261426,2.590018951,0,1.03626943,0,0
36081048302,28.33675565,7,37.04379562,9.5,8.3,4.2,28.08008214,6.1,3.832116788,17.4010039,94.30184805,12.33766234,3.1,16.60583942,37,0
